,speed (BL/s),nfish,metabolic rate (mg of O2/h),metabolic rate std error (mg of O2/h)
7,1,5,5.253818181818133,1.4439820899617812
8,2,5,2.1839999999999966,2.045931590254372
9,3,5,-0.12218181818181861,1.5432141569144213
10,4,5,1.3440000000001366,1.4595840736666097
11,5,5,2.324181818181699,2.300899910721676
12,1,5,3.176727272727276,1.5801297209660166
13,2,5,0.4581818181818207,2.551636095141694
14,3,5,1.5120000000000036,1.7475499723623487
15,4,5,1.786909090909321,1.3212125732851305
16,5,5,4.444363636363738,1.17159025139603
17,6,5,3.7952727272725775,2.982467785940384
18,1,5,2.4130909090911734,1.7566638658113827
19,2,5,3.3294545454548015,2.0218876190366917
20,3,5,2.229818181817978,1.866980481837053
21,4,5,3.3752727272729053,1.4055399128300017
22,5,5,0.03818181818170219,2.9575180052930463
23,1,5,8.170909090909229,3.010450448681909
24,2,5,0.22909090909086327,2.364505995196179
25,3,5,-0.1527272727272968,1.6475414678137794
26,4,5,2.2221818181816917,3.76977280753363
27,1,5,0.3970909090912862,1.6504239485785237
28,2,5,1.5883636363638276,1.8435882380161899
29,3,5,1.5730909090907432,1.4248130251616637
30,4,5,3.390545454545745,1.4160109405348849
31,5,5,1.87418181818158,2.206375550557411
32,1,1,-0.19854545454543793,1.997560217348846
33,2,1,-0.045818181818143344,2.0369499591942932
34,3,1,-0.44290909090910313,1.6207175450772533
35,4,1,-1.1978181818182354,2.3685007875787374
36,1,1,0.09163636363625915,1.6366036589703925
37,2,1,-0.244363636363651,1.8039923579766635
38,3,1,1.3439999999999608,1.7084449639414032
39,4,1,2.1381818181818493,2.020345601273821
40,1,1,-0.5650909090908396,1.593906863423377
41,2,1,0.19854545454543882,2.047601751177492
42,3,1,-2.3367272727272397,1.7257748607316288
43,4,1,-2.153454545454478,1.3964747188327673
44,5,1,1.2065454545454646,1.2747761720234885
45,6,1,-0.21872727272731352,2.5369733957415614
46,1,1,0.8705454545454874,1.8957447359013746
47,2,1,1.0385454545454484,2.0254469848282883
48,1,1,-0.2901818181817113,1.477025214361795
49,2,1,-1.1301818181817214,2.1880748208185627
50,3,1,-1.0996363636363649,1.5000610856957302
51,4,1,0.5956363636364403,1.8938853143304195
52,5,1,0.5498181818180807,1.1201870891348134
53,1,1,0.931636363636553,1.94890027709285
54,2,1,-0.3054545454544981,1.8171898959200277
55,3,1,-0.8426002825158041,1.6119630534900882
56,4,1,2.260363636363645,1.1000853673754751
57,5,1,2.9781818181819744,1.384791966586764
58,1,3,-3.0850909090906913,1.8591614229040476
59,2,3,0.27490909090922333,1.947776655310821
60,3,3,-1.0538181818183032,2.084763546464586
61,4,3,-2.817818181817977,2.4222800086997385
62,1,3,0.4734545454545813,1.658262779997044
63,2,3,0.4429090909092106,1.9681405929341955
64,3,3,1.2676363636364072,1.2481058866124066
65,4,3,0.8858181818183417,1.3613861976374577
66,5,3,2.9476363636364122,1.1765003556480533
67,6,3,1.0412727272728142,4.876850454949693
68,1,3,0.9621818181818007,2.0196334871917823
69,2,3,0.8247272727273174,2.316160221319456
70,1,3,-1.2523636363635253,1.8185607745406729
71,2,3,3.9403636363635552,2.0060259445153434
72,3,3,0.9163636363635761,1.5705473670025198
73,4,3,2.688000000000016,1.3916058691937745
74,5,3,1.8938181818180961,1.0271687595717536
75,6,3,1.2370909090908335,1.769190182338098
76,1,3,4.032000000000098,1.6957850553788136
77,2,3,0.580363636363681,1.8936969398338523
78,1,3,2.413090909090873,1.6654531711168414
79,2,3,0.9927272727273335,1.4536408153887026
80,3,3,-3.4440000000004045,5.136712064745423
81,1,2,-2.260363636363726,1.3173741588990724
82,2,2,-1.2829090909090444,2.206751755947872
83,3,2,-1.3898181818182667,1.4178839760037318
84,4,2,-0.8399999999998873,1.9118038032575035
85,5,2,0.8552727272727281,1.4591788634534286
86,6,2,-3.207272727272767,1.519642094106029
87,1,2,-1.3134545454543591,1.428421381648155
88,2,2,-0.6567272727271125,2.46017199679126
89,3,2,-2.581090909090971,1.5038551129152573
90,4,2,1.7258181818183647,1.412425378171909
91,1,2,2.626909090909005,1.5608805147964826
92,2,2,3.6349090909091517,2.2008372397565523
93,3,2,0.5803636363635989,1.5607880125581173
94,4,2,-1.0385454545452997,1.312360091330056
95,5,2,2.260363636363605,1.2442455592603086
96,6,2,0.9512727272728907,1.779806486999967
97,1,2,-1.2218181818181018,2.0413716384711416
98,2,2,-1.2829090909092624,2.126219961450123
99,3,2,0.229090909090782,1.2921967563420431
100,4,2,-1.3011564267463465,1.0566098227332401
101,5,2,0.6859349586744763,1.4175872765833915
102,6,2,-1.3134545454543867,1.793228283511543
103,1,2,1.2523636363635937,1.8754584895227
104,2,2,0.3054545454544715,2.2233881524722126
105,3,2,1.5272727272726674,1.421078426401593
106,4,2,-1.9358181818179863,1.6402126948308007
